id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
seewa01,Wayne See*,8,1,7,.125,8,1,7,.125,0,0,0,
bovendo01,Don Boven*,8,1,7,.125,8,1,7,.125,0,0,0,
ollrige01,Gene Ollrich,8,1,7,.125,8,1,7,.125,0,0,0,
kubiale01,Leo Kubiak,8,1,7,.125,8,1,7,.125,0,0,0,
mehendi01,Dick Mehen*,8,1,7,.125,8,1,7,.125,0,0,0,
boykoha01,Harry Boykoff,8,1,7,.125,8,1,7,.125,0,0,0,
hamilda01,Dale Hamilton*,7,1,6,.143,7,1,6,.143,0,0,0,
shippch01,Charley Shipp*,7,1,6,.143,7,1,6,.143,0,0,0,
phelaja01,Jack Phelan*,7,1,6,.143,7,1,6,.143,0,0,0,
patrist01,Stan Patrick*,7,1,6,.143,7,1,6,.143,0,0,0,
pritcjo01,John Pritchard,5,1,4,.200,5,1,4,.200,0,0,0,
