id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
schaydo01,Dolph Schayes*,5,3,2,.600,5,3,2,.600,0,0,0,
gaborbi01,Bill Gabor,5,3,2,.600,5,3,2,.600,0,0,0,
kenvibi01,Billy Kenville*,5,3,2,.600,5,3,2,.600,0,0,0,
nealji01,Jim Neal*,5,3,2,.600,5,3,2,.600,0,0,0,
lloydea01,Earl Lloyd*,5,3,2,.600,5,3,2,.600,0,0,0,
seymopa01,Paul Seymour*,5,3,2,.600,5,3,2,.600,0,0,0,
govedba01,Bato Govedarica,5,3,2,.600,5,3,2,.600,0,0,0,
osterwa01,Wally Osterkorn,5,3,2,.600,5,3,2,.600,0,0,0,
kingge01,George King*,5,3,2,.600,5,3,2,.600,0,0,0,
earleed01,Ed Earle,2,1,1,.500,2,1,1,.500,0,0,0,
