id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
millean02,Andre Miller,3,1,2,.333,3,1,2,.333,0,0,0,
casspom01,Omri Casspi,3,1,2,.333,3,1,2,.333,0,0,0,
thompja02,Jason Thompson,3,1,2,.333,3,1,2,.333,0,0,0,
mclembe01,Ben McLemore,3,1,2,.333,3,1,2,.333,0,0,0,
evansre01,Reggie Evans,3,1,2,.333,3,1,2,.333,0,0,0,
mccalra01,Ray McCallum,3,1,2,.333,3,1,2,.333,0,0,0,
willide02,Derrick Williams,3,1,2,.333,3,1,2,.333,0,0,0,
holliry01,Ryan Hollins,2,0,2,.000,2,0,2,.000,0,0,0,
landrca01,Carl Landry,2,0,2,.000,2,0,2,.000,0,0,0,
stausni01,Nik Stauskas,2,1,1,.500,2,1,1,.500,0,0,0,
gayru01,Rudy Gay*,1,1,0,1.000,1,1,0,1.000,0,0,0,
